News Agency,Tweets Ago,Date,Compound,Positive,Negative,Neutral,Tweet
@BBC,1,Thu Jul 26 16:11:16 +0000 2018,-0.296,0.0,0.909,0.091,"Tweet 1: RT @bbcpress: Late for the first game of @BBCMOTD, missed the first dance on #Strictly or tuned in halfway through #EastEnders? Pushing the…"
@BBC,2,Thu Jul 26 16:02:03 +0000 2018,0.2263,0.153,0.741,0.106,"Tweet 2: 😀♥️ Four-year-old Daniel and 91-year-old Stuart, who has dementia, have struck up an unlikely friendship.  https://t.co/DVpVhIssTc"
@BBC,3,Thu Jul 26 15:40:44 +0000 2018,0.0,0.0,1.0,0.0,Tweet 3: RT @bbcweather: It is officially the hottest day of the year so far in the UK with temperatures soaring to 35C in west London. https://t.co…
@BBC,4,Thu Jul 26 13:01:05 +0000 2018,-0.1779,0.072,0.826,0.101,"Tweet 4: ""I would like to do it all over again. There was a war on but otherwise it was absolutely wonderful."" ❤️️

Remember… https://t.co/1cSKgxW5gF"
@BBC,5,Thu Jul 26 12:02:06 +0000 2018,-0.4614,0.0,0.764,0.236,"Tweet 5: 😮 You don't want to get between two fighting kangaroos!
#LifeStory https://t.co/xX95kVkWJU"
@BBC,6,Thu Jul 26 11:00:16 +0000 2018,-0.4019,0.064,0.788,0.148,"Tweet 6: A record number of primary school children are leaving school severely obese, according to new figures from Public… https://t.co/nmc8w0pnGW"
@BBC,7,Thu Jul 26 08:45:35 +0000 2018,-0.8176,0.0,0.762,0.238,"Tweet 7: RT @BBCEngland: The last living female pilot from World War Two, Mary Ellis, has died aged 101 at her home on the Isle of Wight https://t.c…"
@BBC,8,Thu Jul 26 08:00:00 +0000 2018,-0.4019,0.0,0.828,0.172,"Tweet 8: This school is tackling their single-use plastic problem one lunchbox at a time.
#PlasticsAction https://t.co/dBJBC46C06"
@BBC,9,Thu Jul 26 07:28:06 +0000 2018,-0.3818,0.102,0.732,0.167,Tweet 9: We call violence an ‘epidemic’ – and there is reason to take that literally... treating it like an infectious disea… https://t.co/871oH89IB6
@BBC,10,Thu Jul 26 07:01:02 +0000 2018,-0.4019,0.0,0.748,0.252,"Tweet 10: ♨️😴 Having trouble sleeping in this heatwave?
#HeatwaveUK https://t.co/N8Nstm5gC7"
@BBC,11,Wed Jul 25 19:02:00 +0000 2018,0.4019,0.247,0.617,0.136,"Tweet 11: Colin Firth stars in an award-winning adaptation of Jane Austen's classic romance. 📚😍

Pride and Prejudice |… https://t.co/bgxyIt8i5g"
@BBC,12,Wed Jul 25 18:02:05 +0000 2018,0.4404,0.184,0.725,0.092,"Tweet 12: From @rosskemp to @sirpatstew: these are the ultimate Extras celebrity cameos. 😂

https://t.co/MzLh704sPC"
@BBC,13,Wed Jul 25 16:02:05 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 13: Is this Africa’s most inventive neighbourhood? 💡🌿🥑

https://t.co/xgeQCMM1XP"
@BBC,14,Wed Jul 25 14:37:40 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 14: Researchers have found evidence of an existing body of liquid water on Mars.
👉 https://t.co/cmykUjdfxy https://t.co/F45qHNXcOR"
@BBC,15,Wed Jul 25 13:57:01 +0000 2018,0.0,0.0,1.0,0.0,Tweet 15: RT @BBCWthrWatchers: On Friday night you may see the moon turn red during a total lunar eclipse. Lasting 1 hr 40 mins it will be the longes…
@BBC,16,Wed Jul 25 13:02:05 +0000 2018,-0.4767,0.083,0.758,0.159,"Tweet 16: 💉 A jab that protects against a virus that causes cervical cancer will be given to boys aged 12 to 13 in England.
👉… https://t.co/joOj8vMupR"
@BBC,17,Wed Jul 25 12:40:25 +0000 2018,0.6759,0.24,0.696,0.064,"Tweet 17: RT @bbcpress: 🤣 Want to write comedy? Want a six-month bursary to train and develop your skills at the BBC?
⏰ TIME IS RUNNING OUT! The dead…"
@BBC,18,Wed Jul 25 12:03:04 +0000 2018,0.4215,0.177,0.823,0.0,"Tweet 18: 🌊🐬 These dolphins were rescued after getting stranded in shallow water in Tasmania. 

https://t.co/MRqRBxsctW"
@BBC,19,Wed Jul 25 11:02:03 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 19: 'I downloaded all my Facebook data and it was a nightmare'. 💻🤦‍♀️

Have you ever wondered what your data actually l… https://t.co/0sNfkSket7"
@BBC,20,Wed Jul 25 08:04:03 +0000 2018,0.0772,0.08,0.92,0.0,"Tweet 20: A startling insight into how society viewed the role of women in the 20th century. #WashesWhiter

https://t.co/BIoTfZ5DPG"
@BBC,21,Wed Jul 25 07:31:07 +0000 2018,-0.2732,0.0,0.877,0.123,"Tweet 21: A watchdog has warned that the packaging you recycle 'may end up in landfill'. ♻️🗑

https://t.co/7q7NwFYVBh https://t.co/8SqE3kZ3j8"
@BBC,22,Wed Jul 25 07:02:05 +0000 2018,0.6369,0.318,0.682,0.0,"Tweet 22: Why we should all love whale poo... 💚🐋💩 

#OurBluePlanet

https://t.co/VePUiOOE3F"
@BBC,23,Tue Jul 24 19:03:05 +0000 2018,-0.3818,0.0,0.874,0.126,"Tweet 23: Fish are losing their sense of smell because of a rise in CO2 levels, according to new research. 🐟💔… https://t.co/9EWLY0pLrH"
@BBC,24,Tue Jul 24 18:00:19 +0000 2018,0.128,0.282,0.47,0.248,Tweet 24: The best way EVER to deal with a scam. https://t.co/nqWGYEEBy4
@BBC,25,Tue Jul 24 17:02:07 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 25: 🌡🍂 From Carnoustie to London, the heatwave has left Britain's parks and lawns parched.

📷 https://t.co/yqcbYgu5Y7… https://t.co/I0rzDBzXOp"
